VIN,BRAND,MODEL,COLOR,ENGINE,TRANSMISSION,MPG,DEALER_ID,DATE_SOLD_TO_DEALER,MANUFACTURER
5P3P0H3O8C3A2G5W1,Toyota,Echo,Goldenrod,13,Object-based,16,76,2018-03-07,Stark Group
5F4H7E1K5P6H1Z6P8,Honda,Accord,Puce,4,time-frame,20,77,2017-09-22,"Sipes, Will and Zulauf"
5H9Q2T7C3N7Y4P5D5,Volvo,240,Pink,7,extranet,45,78,2017-06-21,"Bauch, Moore and Beatty"
8R0S3K5X0D7M9T5Z1,Audi,A8,Pink,11,local area network,15,79,2017-11-09,"Kovacek, Bednar and Schaden"
1D2R5W5R0U5M3F8D0,Audi,90,Blue,12,internet solution,46,80,2018-03-20,Emard and Sons
0V7X8G6A5B2W1J5W7,Mazda,Protege,Green,10,analyzer,22,81,2018-01-09,"Weimann, Bernier and Funk"
8E9J6N4B3K6M7U1N2,Volkswagen,Beetle,Violet,7,fresh-thinking,20,82,2017-11-12,"Anderson, Kunze and Ankunding"
0Y0N4V2S6J9W5P5K6,BMW,Z4 M,Red,3,Implemented,18,83,2017-06-25,Christiansen-Bogisich
4N3N2W6F3Y4K8B7V5,Mitsubishi,Lancer,Red,10,Graphic Interface,38,84,2017-06-29,Larson Group
5O3L9W8K0W1A3O3I5,Buick,Coachbuilder,Mauv,8,Re-engineered,44,85,2018-03-23,Lindgren-Kuphal
4S4G6H0Z5D2S5X0E6,Hummer,H2,Yellow,11,support,14,86,2017-12-01,Toy-Kunde
0U6P7S9J5X8U1O0M1,Acura,MDX,Green,7,Networked,12,87,2017-05-02,Kris-Kautzer
6Z0Y4I9X9V1G6U3O8,Saab,9-5,Maroon,8,hardware,41,88,2017-12-08,"Grant, Schneider and Abshire"
9Z0Y4V5M4A3L0Y2Z8,Jeep,Compass,Yellow,2,high-level,15,89,2017-04-09,"Mayert, Kshlerin and Schaefer"
3Y1I2E8G7M0I9P3E5,Acura,TSX,Goldenrod,8,monitoring,46,90,2017-09-27,Greenholt-Bayer
1O5E7R7J9Z9O6B4O8,Ford,Aerostar,Khaki,9,help-desk,38,91,2018-02-19,Jaskolski Group
2I7J6Y0B3Q8Z1L4N0,Chevrolet,Tahoe,Purple,2,concept,17,92,2018-03-22,"Brown, Marquardt and Toy"
4U5G7N9R8Z3B6F2G4,Volkswagen,GTI,Purple,10,Total,34,93,2017-12-01,Mills and Sons
3J1H8H1Y7Y7D8X8E4,Ford,Mustang,Green,11,hierarchy,45,94,2017-09-23,Pacocha-Stark
3P1S4G3X7P9K5O1C7,Mercedes-Benz,E-Class,Goldenrod,4,process improvement,32,95,2017-04-21,Mertz-Mohr
0K2C2J8C6R8X4F9J5,Mercedes-Benz,C-Class,Green,2,parallelism,38,96,2017-05-21,Feeney and Sons
1B5S6K9E8P5A6S7E0,Acura,Legend,Yellow,7,real-time,38,97,2017-10-24,"Labadie, Cormier and Kuhic"
7P2P5G3Y0W7E5Q5U9,Volkswagen,Jetta,Fuscia,15,modular,10,98,2017-04-01,Kunze Inc
1W1S4V9U4K8N8C7H7,Porsche,928,Yellow,9,frame,24,99,2018-03-23,Kshlerin LLC
9Y7H5Q3Y7I8H9J8U1,Saab,9000,Teal,6,Advanced,10,100,2017-04-29,Smitham-Shanahan
9U4Q1L1W4A9G8F6P8,Pontiac,Grand Am,Violet,1,motivating,20,101,2017-08-05,Schoen and Sons
7P6M6Z5M2J5Z3Y0P9,Audi,Cabriolet,Yellow,8,open system,30,102,2017-11-08,Rosenbaum and Sons
9G6R1F3R5Q0A5B2D6,Honda,Pilot,Teal,4,Persistent,36,103,2017-07-17,"Friesen, Rogahn and Smitham"
1S0Y7D0E2J7P8F6U6,Lexus,RX Hybrid,Aquamarine,11,artificial intelligence,43,104,2017-05-30,"Runte, Gorczany and Roberts"
5J5X0Z8Y2H1J3Z7H2,Mercury,Lynx,Orange,7,User-centric,24,105,2017-04-14,Daugherty-Gutmann
0L1Y3I0C7W5D4C4R4,Chrysler,Pacifica,Mauv,3,open system,34,106,2018-02-18,"Hermiston, Lind and Hammes"
9T8D5N0N4J0Z6G4H4,Audi,100,Turquoise,2,even-keeled,42,107,2017-08-26,"Jakubowski, Bogisich and O'Keefe"
4D6G7U8F0T7V1K7M5,Jaguar,X-Type,Teal,6,task-force,47,108,2017-04-10,Kuvalis Inc
8V0C6Q2K6H6E6X8J2,Mercury,Cougar,Puce,12,Persevering,49,109,2017-07-10,Considine LLC
1T4N1M2N0B2U9C5V6,Honda,Accord,Teal,4,encompassing,23,110,2017-05-04,Beer-Dietrich
3T8E2W4N4T6C5Q7G5,BMW,X6,Yellow,14,regional,37,111,2017-04-20,Bogisich Inc
0A7J4M2E4V4Z0S7Q7,Mercedes-Benz,CLK-Class,Indigo,7,data-warehouse,45,112,2017-05-22,"Satterfield, Orn and Ward"
4V6Y7L7J6V2Y9U2U2,Mazda,323,Orange,3,reciprocal,49,113,2017-08-16,D'Amore Inc
7N6F6A7A8B5A4H2C8,Saturn,L-Series,Indigo,9,infrastructure,20,114,2017-08-09,Walker Inc
3L7L3Z6I6N9W5D4E9,Mazda,MPV,Teal,2,Stand-alone,13,115,2017-07-07,Schmitt-Howe
9L7Z3J7E7D9J0C4I0,Ford,F150,Pink,2,open system,48,116,2018-01-22,Johnson-Collier
8X1O8Z3C9G1L4L6A5,Ford,Explorer,Orange,2,Extended,12,117,2017-09-17,Cassin Inc
7M9P2X6O6S5V9Q4V4,Oldsmobile,Cutlass,Pink,16,Multi-channelled,30,118,2017-05-16,Pagac-Bayer
6B1P1D6T5P7A9L7A6,Infiniti,QX,Purple,1,user-facing,29,119,2017-04-25,"Wolf, Jaskolski and Farrell"
8M0A3W7I5D1R2H2I3,Kia,Spectra,Purple,6,array,22,120,2017-09-01,Corwin Inc
8Z6C2Q3A8X8H2O8U0,Nissan,200SX,Pink,4,Digitized,35,121,2017-04-01,"Mohr, Nader and Cole"
4T7W9V2Z6V8E3U4I6,Dodge,Intrepid,Red,7,paradigm,37,122,2017-06-14,Pfannerstill-Hirthe
0T8B2K8Y0A4T9F6X1,Toyota,Land Cruiser,Fuscia,3,context-sensitive,26,123,2017-10-03,Gusikowski-VonRueden
7R1M4I8R2Q9N3E9F2,Infiniti,J,Goldenrod,11,3rd generation,43,124,2017-10-14,"Jacobson, Krajcik and Legros"
2I4E6B3W5S7M3W6H4,Dodge,Dakota Club,Crimson,8,Distributed,13,125,2017-11-28,Von-Lowe
5J2Q2Q2L8S9O6F6W1,Mercury,Tracer,Maroon,3,Visionary,23,126,2017-11-22,Hansen-Swaniawski
4M5F1U6W0N4U1K8G1,Suzuki,Grand Vitara,Orange,14,User-centric,21,127,2017-05-28,Brakus-Corkery
7Y6E9V1I7X9X3K9X9,BMW,5 Series,Turquoise,12,strategy,39,128,2018-01-21,Farrell Group
0O7X3A6N6U4J6X2N3,Chevrolet,Avalanche 1500,Indigo,12,Face to face,31,129,2017-06-08,"Lynch, Keebler and Ryan"
6X0X5B7Z5G7N6O6E7,Lexus,GX,Indigo,11,capability,40,130,2017-06-23,Green-Bahringer
1E7C8W7N2S1N0O0P9,Toyota,T100,Pink,9,implementation,15,131,2017-07-02,Pfannerstill and Sons
2G0C6K3G3K6J4W2D4,BMW,M5,Goldenrod,1,Function-based,39,132,2017-09-19,Durgan Inc
3S4Y0J9K8X2E8E0Z0,Pontiac,LeMans,Red,13,Fundamental,23,133,2017-09-25,Eichmann LLC
5V2B0T6G2F0P1G8X1,Mercedes-Benz,E-Class,Teal,5,parallelism,12,134,2017-04-03,Shanahan-Nitzsche
7O4J8Z1C2G0P3W6V1,Dodge,Dakota,Blue,7,task-force,33,135,2017-12-27,Cummerata-Ernser
3S7V5Z5N7A6Z1N5Q2,Aston Martin,DB9,Fuscia,3,groupware,41,136,2017-06-11,"Nitzsche, Greenfelder and Hane"
1S6Y0F8X9N7C0E3K6,GMC,3500,Puce,11,Proactive,26,137,2017-07-01,Ledner-Bernhard
2X9H3B9E1R9Y1G8M7,BMW,M6,Maroon,16,disintermediate,38,138,2017-12-03,"Wuckert, Romaguera and Gulgowski"
7B0L6K7Z4U0D1W1H6,Jaguar,X-Type,Goldenrod,4,matrices,40,139,2017-09-01,Witting Inc
2A8Z1R5Q5D0H4Y8S7,GMC,Yukon,Teal,9,Grass-roots,12,140,2017-03-27,Williamson LLC
6R9O8B8J9S0H7K6P7,Land Rover,Range Rover,Yellow,3,Grass-roots,28,141,2017-07-31,Beier-Bashirian
9X5I0K3M9I1R3Q8N8,Honda,Accord,Puce,14,Persevering,48,142,2017-06-27,Beer Inc
7V3Q2S1J7B3J4B6A5,Land Rover,Freelander,Turquoise,15,intangible,14,143,2018-01-31,Rath Group
2H7L3F8K3W7T3T3A4,Mercedes-Benz,CLS-Class,Blue,5,Innovative,48,144,2017-10-09,"Barrows, Abshire and Cartwright"
1E5Y0I5G3V1A3D2H5,GMC,Safari,Violet,1,Multi-tiered,20,145,2017-10-14,"Anderson, Mosciski and Russel"
7Z7B2J8V2T1G9T1Z8,Infiniti,G,Goldenrod,6,interactive,35,146,2018-02-20,Grant-Walsh
8I6P7A2K9X4D4K6E8,Toyota,Tacoma,Indigo,8,methodical,23,147,2018-03-12,Bins-Gutmann
2I2A4Y8U4C6O9W2O6,GMC,Yukon XL 2500,Teal,5,24/7,44,148,2017-06-30,Grant LLC
9N1Y4H7K2V1F5W8L6,Alfa Romeo,Spider,Pink,2,Fully-configurable,37,149,2018-03-11,"Gusikowski, Fay and Kautzer"
8Y0K7N9W1C5A4B5F0,Lincoln,Town Car,Green,2,Expanded,20,150,2017-12-01,"Denesik, O'Keefe and Medhurst"
0Y8F8M5L0V7M9G5I9,Toyota,Corolla,Puce,9,explicit,24,151,2017-04-14,"Beer, Bruen and Bogisich"
3Z6I4N4U5B7X8R7S4,GMC,Sierra,Indigo,16,forecast,22,152,2018-03-21,Hyatt-Moen
8Q8P7D8A7X5M1K8J6,Lincoln,LS,Orange,3,asynchronous,37,153,2017-05-16,"Bins, Bode and Friesen"
9A1W6E9X0I4P2B2G4,Spyker,C8,Pink,15,uniform,13,154,2017-06-15,Gerhold-Nader
8L3I7P8U4G3Q5S2R8,Pontiac,Firefly,Turquoise,1,web-enabled,38,155,2017-07-25,Lowe-Gorczany
3E7P3H2G8N8F4A5T6,Audi,A4,Purple,9,Secured,30,156,2017-10-19,Stoltenberg Inc
3V4X8E9I4W9E3U7Q2,Mercedes-Benz,CLK-Class,Red,5,Persistent,21,157,2018-02-15,Zemlak-Predovic
5J8C2I2A2D1U0N5S2,Ford,F-Series,Khaki,4,Expanded,43,158,2018-03-17,Harvey and Sons
7Q1C7Y1O0O7A6W8I7,Nissan,Datsun/Nissan Z-car,Red,10,structure,22,159,2017-06-03,Brakus-Dickinson
6E6E2D0M1Z1D0Y3N3,Mitsubishi,Endeavor,Red,10,approach,25,160,2017-07-16,"Stark, Luettgen and Rosenbaum"
0A2I8F2E7B5N6N6I2,Chevrolet,Express 1500,Green,9,Seamless,10,161,2018-03-06,Howell-Mohr
5P4Y9M9R9X3A7R4L6,Cadillac,Seville,Orange,9,5th generation,16,162,2017-04-06,Erdman-Beier
2U1P4U9B2X6W2N2A7,Isuzu,Rodeo,Maroon,4,didactic,36,163,2017-11-03,"Braun, Olson and Miller"
9F0R6J2Z8E4T1X3G4,Suzuki,Grand Vitara,Violet,3,object-oriented,12,164,2018-01-02,Will-Crona
9C0T3N8D1L7R9D4T6,Chevrolet,Express 3500,Puce,14,analyzer,22,165,2018-02-08,O'Reilly LLC
0O4T5M0S8M5V6V9B0,Isuzu,Trooper,Mauv,12,Horizontal,41,166,2017-04-13,"Abernathy, Koss and Heaney"
7H6S8I2T3B0R1D6Z3,Volkswagen,Eos,Pink,15,Public-key,14,167,2017-03-29,Fritsch Inc
2G3J6L9G6I6D9H6U8,Ford,Ranger,Teal,10,coherent,26,168,2017-09-27,"Terry, Mann and Klocko"
1E6F7M1H8V5M5M4E9,Mitsubishi,Pajero,Aquamarine,15,User-centric,49,169,2018-01-10,"Carter, Rogahn and Hauck"
3O4C7Y8F2V3Q1Q2Z5,Lotus,Exige,Mauv,7,modular,46,170,2018-01-11,Herzog LLC
9Y6J7T4Q1Q2Y8G7Q8,Mitsubishi,Space,Crimson,5,Cloned,32,171,2017-05-31,Adams-Jenkins
4J9F6T5S4V6I6E0Z8,Volvo,C70,Orange,7,ability,45,172,2017-12-24,"Yundt, Corkery and Mohr"
8D5B1S8S0M3K7C8N0,Plymouth,Colt,Turquoise,9,firmware,20,173,2018-01-26,"Beahan, Leannon and Greenfelder"
8T8N7A2F2C7I0O2B0,Hyundai,Sonata,Maroon,1,middleware,43,174,2018-01-15,Vandervort Inc
1C7S4Q0L7L2M4W3O2,Dodge,Ram 1500 Club,Fuscia,15,Implemented,46,175,2017-11-28,"Price, Auer and Cummings"
1A8D9K9O9Z7V7E6E1,Dodge,Daytona,Red,3,Up-sized,36,176,2018-01-14,Gibson-Muller
1B0Q1L4B6X5Z1E0A6,Lincoln,MKZ,Blue,14,actuating,10,177,2017-12-08,"Herman, Sipes and Brekke"
0O2J2F6S7L8P3X5H1,Pontiac,Grand Am,Puce,5,Distributed,14,178,2018-03-09,Grant Group
8A9O6M7T9E7W5Y9M9,GMC,3500,Maroon,5,transitional,39,179,2018-01-07,Bogisich and Sons
4Z4I4X1N7R4D8V4W3,Dodge,Caravan,Turquoise,4,attitude,50,180,2017-08-11,Bergnaum-Dibbert
5Q3H4E7K4W4I5L1V0,Toyota,Highlander,Aquamarine,12,pricing structure,25,181,2017-08-31,Bernhard-Murphy
0L2T2U0I9C4P7B0J9,Mazda,RX-7,Goldenrod,15,task-force,35,182,2017-07-02,"Will, Batz and Mosciski"
1N6U3J7H0T0L3R0Y2,Mercedes-Benz,E-Class,Aquamarine,4,instruction set,42,183,2017-11-29,Bernier-Hahn
3L2Q2V8L4W3E3R6B3,Porsche,911,Orange,3,internet solution,11,184,2018-03-18,"Fisher, Turcotte and Wisoky"
2A1W4C0L9W2Q3O2L4,Buick,Park Avenue,Orange,13,migration,39,185,2017-07-12,Gusikowski Group
2I3G0B2Z1I0J8P9Y4,Nissan,NX,Turquoise,12,Upgradable,13,186,2017-07-07,Botsford Inc
6B9Y0S9P2F5N7I5J6,BMW,3 Series,Khaki,16,core,39,187,2017-12-08,"Towne, Herman and Wilderman"
9V3U0V7S7G9A8Y9S1,Ford,F150,Aquamarine,5,human-resource,26,188,2017-05-27,Haag-Glover
8S2W1Y2E4F6N4O1U4,Mercedes-Benz,S-Class,Teal,14,Seamless,17,189,2017-03-24,"McKenzie, Pouros and Schoen"
6O6A1Q0W6M1S7Q3J3,Chrysler,Concorde,Green,5,Secured,32,190,2017-06-03,"McCullough, Reichert and Berge"
8V5J1S5M8M0O1I0U4,Nissan,GT-R,Pink,9,access,33,191,2018-01-14,"Weissnat, Rolfson and Bogan"
2Z1I8X3O6C3B8N5P4,Toyota,Corolla,Yellow,6,Re-engineered,16,192,2017-10-01,Flatley-Terry
6L0E6L2M8A6C3H4O7,Chevrolet,Suburban 1500,Fuscia,3,Exclusive,32,193,2017-10-10,Armstrong-Hegmann
8P3I7N6W6G4X8M9Z4,Chevrolet,Express 2500,Blue,1,time-frame,34,194,2017-10-02,Mertz Group
9T5K7E9R6P1W7T3D2,Chevrolet,Avalanche 2500,Turquoise,16,Innovative,32,195,2017-08-17,Glover Inc
7I2E0A9C9A5C0F1J0,BMW,Z8,Fuscia,13,project,37,196,2017-07-08,McCullough and Sons
5A7L5H1N0K1D4I0O5,Chrysler,Sebring,Turquoise,8,multi-tasking,39,197,2017-11-06,Mills Inc
8D7L8P2X2P7R0A9L4,Dodge,Caliber,Crimson,9,Progressive,27,198,2017-05-11,"Hahn, Adams and Kuhic"
6P2J3B0K3L6T2G9A9,Pontiac,Montana,Puce,10,transitional,34,199,2017-10-02,Koss and Sons
3L0V9X7P6V0R5X7H6,Hyundai,Accent,Indigo,13,contextually-based,23,200,2017-06-01,"Medhurst, Upton and Thiel"
0Z8U5Y6Z3W4S0E5B0,Chevrolet,Suburban 2500,Violet,12,attitude,16,201,2017-07-30,Quigley and Sons
1P5O7V0Z7A5F1L3N4,Dodge,Grand Caravan,Fuscia,3,methodical,26,202,2017-11-28,Hamill Inc
3O3W9X5Z8K2F5D8S8,Land Rover,Defender 110,Puce,9,challenge,22,203,2017-08-31,Ritchie-Grady
6I8P1U6G4Q9I0M3P0,Mitsubishi,Endeavor,Indigo,6,Open-source,43,204,2017-05-18,DuBuque and Sons
4N9O4Y7X2W1F0U4T7,Ford,Galaxie,Goldenrod,6,groupware,45,205,2017-05-28,Gorczany-Boehm
7V2A3C8F1B8O5T9N4,Mazda,Protege,Turquoise,7,background,17,206,2017-06-19,Beatty-Ziemann
7G8P4G1N4M6O1P9R9,Mercury,Villager,Puce,4,conglomeration,46,207,2017-09-27,Gerhold-Batz
9Z5Y6U1S1M7L6P9M7,Chevrolet,Monte Carlo,Puce,8,regional,46,208,2017-12-15,Ondricka LLC
0H7C0D1T0Z4V6W1J5,Lincoln,MKX,Pink,11,Innovative,37,209,2017-04-28,"Marquardt, Littel and Collier"
4C1G3B3M5E7F6N0Z9,Porsche,924,Violet,12,homogeneous,41,210,2017-12-04,Hauck and Sons
1P8Q3J7N4B8K3O4L4,BMW,M3,Purple,14,explicit,23,211,2018-03-07,Quigley-Beier
4I7K2X7X2F0K0K9V3,Oldsmobile,Silhouette,Orange,4,Profit-focused,44,212,2018-01-31,Witting Inc
7D9R9D4Q2P7H1B6R1,Infiniti,FX,Fuscia,2,Programmable,36,213,2017-11-05,"Wyman, Padberg and Dicki"
4Z2C0Z5E5K8L3W8O2,BMW,3 Series,Goldenrod,11,6th generation,40,214,2017-03-24,Lubowitz and Sons
6Z8M8U6F4P2H1D7X7,Lamborghini,Murciélago,Yellow,4,transitional,47,215,2017-08-09,Shields-Kohler
9U6W7V8C2G7M1O5A7,Aptera,Typ-1,Turquoise,8,analyzing,19,216,2017-04-10,"Gleason, Okuneva and Cartwright"
